player_name,team,position,caps,club,group
Woodensky Pierre,Haiti,MID,1,,Group C
Yassine Bounou,Morocco,GK,90,,Group C
Achraf Hakimi,Morocco,DEF,96,,Group C
Noussair Mazraoui,Morocco,DEF,45,,Group C
Sofyan Amrabat,Morocco,MID,75,,Group C
Marwane Saâdane,Morocco,DEF,8,,Group C
Ayyoub Bouaddi,Morocco,MID,3,,Group C
Chemsdine Talbi,Morocco,MID,5,,Group C
Azzedine Ounahi,Morocco,MID,49,,Group C
Soufiane Rahimi,Morocco,FWD,37,,Group C
Brahim Díaz,Morocco,FWD,26,,Group C
Ismael Saibari,Morocco,MID,31,,Group C
Munir Mohamedi,Morocco,GK,53,,Group C
Zakaria El Ouahdi,Morocco,DEF,3,,Group C
Issa Diop,Morocco,DEF,4,,Group C
Samir El Mourabet,Morocco,MID,4,,Group C
Gessime Yassine,Morocco,MID,5,,Group C
Amine Sbaï,Morocco,FWD,2,,Group C
Chadi Riad,Morocco,DEF,6,,Group C
Youssef Belammari,Morocco,DEF,19,,Group C
Ayoub El Kaabi,Morocco,FWD,71,,Group C
Ayoube Amaimouni,Morocco,FWD,2,,Group C
Ahmed Reda Tagnaouti,Morocco,GK,3,,Group C
Bilal El Khannouss,Morocco,MID,37,,Group C
Neil El Aynaoui,Morocco,MID,16,,Group C
Redouane Halhal,Morocco,DEF,3,,Group C
Anass Salah-Eddine,Morocco,DEF,9,,Group C
Angus Gunn,Scotland,GK,22,,Group C
Aaron Hickey,Scotland,DEF,21,,Group C
Andy Robertson,Scotland,DEF,94,,Group C
Scott McTominay,Scotland,MID,70,,Group C
Grant Hanley,Scotland,DEF,68,,Group C
Kieran Tierney,Scotland,DEF,56,,Group C
John McGinn,Scotland,MID,86,,Group C
Tyler Fletcher,Scotland,MID,2,,Group C
Lyndon Dykes,Scotland,FWD,51,,Group C
Ché Adams,Scotland,FWD,47,,Group C
Ryan Christie,Scotland,MID,68,,Group C
Liam Kelly,Scotland,GK,3,,Group C
Jack Hendry,Scotland,DEF,38,,Group C
