player_name,team,position,caps,club,group
Diogo Dalot,Portugal,DEF,35,,Group K
Matheus Nunes,Portugal,MID,20,,Group K
Cristiano Ronaldo,Portugal,FWD,228,,Group K
Bruno Fernandes,Portugal,MID,89,,Group K
Gonçalo Ramos,Portugal,FWD,25,,Group K
Bernardo Silva,Portugal,MID,109,,Group K
João Félix,Portugal,FWD,54,,Group K
José Sá,Portugal,GK,5,,Group K
Renato Veiga,Portugal,DEF,13,,Group K
Gonçalo Inácio,Portugal,DEF,22,,Group K
João Neves,Portugal,MID,22,,Group K
Francisco Trincão,Portugal,FWD,18,,Group K
Rafael Leão,Portugal,FWD,44,,Group K
Pedro Neto,Portugal,FWD,25,,Group K
Gonçalo Guedes,Portugal,FWD,34,,Group K
João Cancelo,Portugal,DEF,68,,Group K
Rúben Neves,Portugal,MID,67,,Group K
Rui Silva,Portugal,GK,3,,Group K
Vitinha,Portugal,MID,38,,Group K
Samú Costa,Portugal,DEF,6,,Group K
Nuno Mendes,Portugal,DEF,44,,Group K
Francisco Conceição,Portugal,FWD,17,,Group K
Utkir Yusupov,Uzbekistan,GK,40,,Group K
Abdukodir Khusanov,Uzbekistan,DEF,27,,Group K
Khojiakbar Alijonov,Uzbekistan,DEF,40,,Group K
Farrukh Sayfiev,Uzbekistan,DEF,46,,Group K
Rustam Ashurmatov,Uzbekistan,DEF,49,,Group K
Akmal Mozgovoy,Uzbekistan,MID,25,,Group K
Otabek Shukurov,Uzbekistan,MID,84,,Group K
Jamshid Iskanderov,Uzbekistan,MID,38,,Group K
Odiljon Hamrobekov,Uzbekistan,MID,72,,Group K
Jaloliddin Masharipov,Uzbekistan,MID,74,,Group K
Oston Urunov,Uzbekistan,MID,42,,Group K
Abduvohid Nematov,Uzbekistan,GK,8,,Group K
Sherzod Nasrullaev,Uzbekistan,DEF,31,,Group K
Eldor Shomurodov,Uzbekistan,FWD,92,,Group K
Umar Eshmurodov,Uzbekistan,DEF,29,,Group K
Botirali Ergashev,Uzbekistan,GK,2,,Group K
Dostonbek Khamdamov,Uzbekistan,MID,34,,Group K
Abdulla Abdullaev,Uzbekistan,DEF,17,,Group K
Azizjon Ganiev,Uzbekistan,MID,19,,Group K
Azizbek Amonov,Uzbekistan,FWD,12,,Group K
Igor Sergeev,Uzbekistan,FWD,83,,Group K
Abbosbek Fayzullaev,Uzbekistan,MID,32,,Group K
Sherzod Esanov,Uzbekistan,MID,1,,Group K
Bekhruz Karimov,Uzbekistan,DEF,2,,Group K
Avazbek Ulmasaliev,Uzbekistan,DEF,0,,Group K
Jakhongir Urozov,Uzbekistan,DEF,4,,Group K
Dominik Livaković,Croatia,GK,75,,Group L
Josip Stanišić,Croatia,DEF,31,,Group L
Marin Pongračić,Croatia,DEF,20,,Group L
Joško Gvardiol,Croatia,DEF,48,,Group L
Duje Ćaleta-Car,Croatia,DEF,38,,Group L
Josip Šutalo,Croatia,DEF,33,,Group L
Nikola Moro,Croatia,MID,10,,Group L
Mateo Kovačić,Croatia,MID,113,,Group L
Andrej Kramarić,Croatia,FWD,116,,Group L
Luka Modrić,Croatia,MID,198,,Group L
Ante Budimir,Croatia,FWD,38,,Group L
Ivor Pandur,Croatia,GK,0,,Group L
Nikola Vlašić,Croatia,MID,63,,Group L
Ivan Perišić,Croatia,FWD,154,,Group L
Mario Pašalić,Croatia,MID,85,,Group L
Martin Baturina,Croatia,MID,19,,Group L
Petar Sučić,Croatia,MID,17,,Group L
Kristijan Jakić,Croatia,DEF,17,,Group L
Toni Fruk,Croatia,MID,7,,Group L
Igor Matanović,Croatia,FWD,9,,Group L
Luka Sučić,Croatia,MID,21,,Group L
Luka Vušković,Croatia,DEF,5,,Group L
Dominik Kotarski,Croatia,GK,4,,Group L
Marco Pašalić,Croatia,FWD,15,,Group L
Martin Erlić,Croatia,DEF,13,,Group L
Petar Musa,Croatia,FWD,11,,Group L
Jordan Pickford,England,GK,84,,Group L
Ezri Konsa,England,DEF,20,,Group L
Nico O'Reilly,England,DEF,5,,Group L
Declan Rice,England,MID,73,,Group L
John Stones,England,DEF,89,,Group L
Marc Guéhi,England,DEF,29,,Group L
Bukayo Saka,England,FWD,49,,Group L
Elliot Anderson,England,MID,9,,Group L
Harry Kane,England,FWD,114,,Group L
Jude Bellingham,England,MID,48,,Group L
Marcus Rashford,England,FWD,72,,Group L
Tino Livramento,England,DEF,6,,Group L
Dean Henderson,England,GK,5,,Group L
Jordan Henderson,England,MID,90,,Group L
Dan Burn,England,DEF,8,,Group L
Kobbie Mainoo,England,MID,14,,Group L
Morgan Rogers,England,MID,15,,Group L
Anthony Gordon,England,FWD,19,,Group L
Ollie Watkins,England,FWD,22,,Group L
Noni Madueke,England,FWD,11,,Group L
Eberechi Eze,England,MID,17,,Group L
Ivan Toney,England,FWD,8,,Group L
James Trafford,England,GK,2,,Group L
Reece James,England,DEF,24,,Group L
Djed Spence,England,DEF,6,,Group L
Jarell Quansah,England,DEF,3,,Group L
Lawrence Ati-Zigi,Ghana,GK,29,,Group L
Alidu Seidu,Ghana,DEF,24,,Group L
Caleb Yirenkyi,Ghana,MID,11,,Group L
Jonas Adjetey,Ghana,DEF,10,,Group L
Thomas Partey,Ghana,MID,57,,Group L
Abdul Mumin,Ghana,DEF,5,,Group L
Abdul Fatawu,Ghana,FWD,28,,Group L
Kwasi Sibo,Ghana,MID,8,,Group L
Jordan Ayew,Ghana,FWD,120,,Group L
Brandon Thomas-Asante,Ghana,FWD,8,,Group L
Antoine Semenyo,Ghana,MID,34,,Group L
Joseph Anang,Ghana,GK,1,,Group L
Christopher Bonsu Baah,Ghana,FWD,9,,Group L
Gideon Mensah,Ghana,DEF,40,,Group L
Elisha Owusu,Ghana,MID,20,,Group L
Benjamin Asare,Ghana,GK,11,,Group L
Abdul Rahman Baba,Ghana,DEF,51,,Group L
Jerome Opoku,Ghana,DEF,11,,Group L
Iñaki Williams,Ghana,FWD,26,,Group L
Augustine Boakye,Ghana,MID,0,,Group L
Kojo Peprah Oppong,Ghana,DEF,4,,Group L
Kamaldeen Sulemana,Ghana,FWD,28,,Group L
Derrick Luckassen,Ghana,DEF,1,,Group L
Ernest Nuamah,Ghana,FWD,18,,Group L
Prince Kwabena Adu,Ghana,FWD,5,,Group L
Marvin Senaya,Ghana,DEF,2,,Group L
Luis Mejía,Panama,GK,56,,Group L
César Blackman,Panama,DEF,40,,Group L
José Córdoba,Panama,DEF,32,,Group L
Fidel Escobar,Panama,DEF,99,,Group L
Edgardo Fariña,Panama,DEF,18,,Group L
Cristian Martínez,Panama,MID,66,,Group L
José Luis Rodríguez,Panama,MID,70,,Group L
Adalberto Carrasquilla,Panama,MID,73,,Group L
Tomás Rodríguez,Panama,FWD,13,,Group L
Ismael Díaz,Panama,MID,57,,Group L
Yoel Bárcenas,Panama,MID,104,,Group L
César Samudio,Panama,GK,5,,Group L
Jiovany Ramos,Panama,DEF,23,,Group L
Carlos Harvey,Panama,DEF,28,,Group L
Eric Davis,Panama,DEF,107,,Group L
Andrés Andrade,Panama,DEF,50,,Group L
José Fajardo,Panama,FWD,68,,Group L
Cecilio Waterman,Panama,FWD,55,,Group L
Alberto Quintero,Panama,MID,141,,Group L
Aníbal Godoy,Panama,MID,159,,Group L
César Yanis,Panama,MID,56,,Group L
Orlando Mosquera,Panama,GK,48,,Group L
Michael Amir Murillo,Panama,DEF,94,,Group L
Azarias Londoño,Panama,FWD,11,,Group L
Roderick Miller,Panama,DEF,50,,Group L
Jorge Gutiérrez,Panama,DEF,18,,Group L
